polygon_name,tahun,movement_change_mean,movement_change_min,movement_change_max,stay_put_mean,n_records
Blitar,2022,-0.34921274647887324,-0.54402,-0.00244,0.32891338028169015,142
Blora,2021,-0.10991019178082193,-0.44329,0.0739,0.2241715890410959,365
Blora,2022,-0.2856517605633803,-0.50425,0.01369,0.288168661971831,142
Boalemo,2021,0.1353673698630137,-0.17402,0.43169,0.23706635616438354,365
Boalemo,2022,0.03277176056338028,-0.2277,0.3974,0.26933204225352114,142
Bogor,2021,-0.16264805479452055,-0.4377,-0.00989,0.24013673972602742,365
Bogor,2022,-0.30136366197183095,-0.56194,-0.04327,0.2975721126760563,142
Bojonegoro,2021,-0.09709753424657536,-0.46686,0.06154,0.22440265753424657,365
Bojonegoro,2022,-0.26977450704225353,-0.51202,0.05972,0.29203422535211265,142
Bolaang Mongondow,2021,0.02751832876712329,-0.2781,0.28445,0.24925019178082192,365
Bolaang Mongondow,2022,-0.059155070422535205,-0.24804,0.27003,0.2817012676056338,142
Bolaang Mongondow Selatan,2021,-0.014789150684931507,-0.37094,0.38856,0.23748320547945206,365
Bolaang Mongondow Selatan,2022,-0.05400549295774648,-0.31742,0.35657,0.2871569014084507,142
Bolaang Mongondow Timur,2021,0.011209835616438357,-0.27963,0.3243,0.2645049589041096,365
Bolaang Mongondow Timur,2022,-0.11420739436619717,-0.45139,0.2979,0.3127735915492958,142
Bolaang Mongondow Utara,2021,0.16806690410958905,-0.20476,0.52353,0.22583375342465756,365
Bolaang Mongondow Utara,2022,0.09638267605633802,-0.23265,0.43619,0.2516888028169014,142
Bombana,2021,0.03929282191780822,-0.25324,0.25373,0.2597945479452055,365
Bombana,2022,-0.10222035211267606,-0.26926,0.23485,0.32097950704225353,142
Bondowoso,2021,-0.09275939726027398,-0.43572,0.11791,0.23087558904109587,365
Bondowoso,2022,-0.2515787323943662,-0.50948,0.01422,0.30248450704225355,142
Bone,2021,-0.011762794520547945,-0.31119,0.14198,0.22626561643835616,365
Bone,2022,-0.13365732394366198,-0.40022,0.09962,0.27673161971830984,142
Bone Bolango,2021,0.008568821917808219,-0.31015,0.2756,0.23928583561643837,365
Bone Bolango,2022,-0.11254929577464788,-0.36387,0.19855,0.2713307042253521,142
Bontang,2021,-0.11539980821917808,-0.49337,0.05813,0.24672624657534248,365
Bontang,2022,-0.25110859154929577,-0.42432,0.01883,0.29528978873239436,142
Boven Digoel,2021,-0.006511835616438356,-0.24371,0.26419,0.23475035616438356,365
Boven Digoel,2022,-0.08998329411764706,-0.24747,0.04716,0.29091035294117645,85
Boyolali,2021,-0.064942,-0.39641,0.10731,0.1828256712328767,365
Boyolali,2022,-0.25545267605633803,-0.51459,0.04639,0.25061021126760563,142
Brebes,2021,-0.044519753424657534,-0.40653,0.23275,0.24091602739726026,365
Brebes,2022,-0.22977112676056335,-0.49792,0.25094,0.30856654929577465,142
Bukittinggi,2021,-0.0519645205479452,-0.35334,0.19633,0.19340767123287672,365
Bukittinggi,2022,-0.18496098591549295,-0.54113,0.39042,0.2579880281690141,142
Buleleng,2021,-0.1488003287671233,-0.73566,0.03414,0.20583969863013699,365
Buleleng,2022,-0.33511478873239436,-0.77633,-0.0338,0.27121021126760564,142
Bulukumba,2021,-0.06654761643835616,-0.38454,0.1014,0.19939978082191778,365
Bulukumba,2022,-0.18704197183098592,-0.39678,0.21975,0.24860246478873238,142
Bulungan,2021,-0.06052978082191781,-0.30719,0.11428,0.24157841095890412,365
Bulungan,2022,-0.1864288732394366,-0.32236,0.1287,0.2899806338028169,142
Bungo,2021,-0.014724219178082192,-0.31241,0.1479,0.1978432602739726,365
Bungo,2022,-0.1645270422535211,-0.34996,0.15612,0.25824422535211267,142
Buol,2021,0.028716712328767123,-0.22484,0.31485,0.24265997260273975,365
Buol,2022,-0.10542697183098591,-0.2882,0.21305,0.2808892957746479,142
Buru,2021,0.09211980821917809,-0.1927,0.34267,0.22711484931506848,365
Buru,2022,-0.036723450704225356,-0.24121,0.20006,0.2763024647887324,142
Buru Selatan,2021,-0.003956677115987461,-0.28735,0.35599,0.265026144200627,319
Buton,2021,-0.023762465753424656,-0.29848,0.12016,0.2811405479452055,365
Buton,2022,-0.16555838028169015,-0.37312,0.0983,0.3325031690140845,142
Buton Utara,2021,-0.023435565749235474,-0.31498,0.37466,0.23758941896024463,327
Buton Utara,2022,0.1333038888888889,-0.02781,0.31896,0.20149111111111112,18
Ciamis,2021,-0.055042383561643836,-0.4053,0.19482,0.2425552602739726,365
Ciamis,2022,-0.18366830985915492,-0.53439,0.34993,0.30443880281690144,142
Cianjur,2021,-0.10476153424657535,-0.41309,0.09404,0.2583713698630137,365
Cianjur,2022,-0.25160401408450705,-0.55721,0.0538,0.3176852112676056,142
Cilacap,2021,-0.1340916712328767,-0.42365,0.08587,0.24552323287671232,365
Cilacap,2022,-0.2978420422535211,-0.51658,0.06199,0.31151753521126757,142
Cilegon,2021,-0.0657910410958904,-0.39505,0.19065,0.1972538082191781,365
Cilegon,2022,-0.23167204225352112,-0.47459,0.36524,0.25484535211267606,142
Cimahi,2021,-0.20404027397260274,-0.46999,-0.00827,0.26285682191780824,365
Cimahi,2022,-0.3515964788732394,-0.60368,-0.10507,0.325572676056338,142
Cirebon,2021,-0.1193887397260274,-0.44558,0.07665,0.21927613698630138,365
Cirebon,2022,-0.29572394366197186,-0.54807,0.02052,0.28797140845070424,142
Dairi,2021,-0.08525835616438356,-0.33547,0.3766,0.23552619178082193,365
Dairi,2022,-0.21388514084507043,-0.3603,0.39334,0.28438640845070423,142
Deli Serdang,2021,-0.05889676712328767,-0.35374,0.06642,0.20537471232876714,365
Deli Serdang,2022,-0.2511861267605634,-0.45741,0.06839,0.26256316901408455,142
Demak,2021,-0.04609802739726028,-0.37469,0.16235,0.20179909589041098,365
Demak,2022,-0.2708639436619718,-0.55022,0.0504,0.2733093661971831,142
Denpasar,2021,-0.24171224657534246,-0.80424,-0.07557,0.2005548493150685,365
Denpasar,2022,-0.39881922535211267,-0.80437,-0.10759,0.2547678873239437,142
Depok,2021,-0.17715701369863016,-0.46476,0.01834,0.2712164657534247,365
Depok,2022,-0.31277514084507047,-0.54298,-0.02859,0.3248519014084507,142
Dharmasraya,2021,0.017919561643835617,-0.27164,0.24741,0.19894753424657532,365
Dharmasraya,2022,-0.07164112676056338,-0.40249,0.5111,0.24575316901408448,142
Dompu,2021,0.01621731506849315,-0.28271,0.20344,0.2137726301369863,365
Dompu,2022,-0.15869845070422536,-0.35324,0.1693,0.27708471830985915,142
Donggala,2021,-0.013685534246575343,-0.36981,0.18412,0.2723058356164384,365
Donggala,2022,-0.18024908450704225,-0.38891,0.13317,0.32098098591549296,142
Dumai,2021,-0.045031589041095894,-0.35772,0.10498,0.2053905205479452,365
Dumai,2022,-0.19768830985915492,-0.39491,0.17825,0.261539014084507,142
Empat Lawang,2021,-0.04292701369863014,-0.3451,0.22319,0.26797306849315067,365
Empat Lawang,2022,-0.19735605633802816,-0.37784,0.31895,0.3477768309859155,142
Ende,2021,-0.02781676712328767,-0.34342,0.20404,0.22052706849315068,365
Ende,2022,-0.17020577464788733,-0.33881,0.05318,0.2832652816901408,142
Enrekang,2021,-0.03242520547945205,-0.32691,0.14208,0.25843156164383563,365
Enrekang,2022,-0.16295274647887323,-0.36398,0.14069,0.31989197183098594,142
Fakfak,2021,-0.027386849315068493,-0.33362,0.1657,0.23965416438356166,365
Fakfak,2022,-0.174576338028169,-0.40862,0.05926,0.29043035211267604,142
Flores Timur,2021,-0.04743665753424658,-0.41327,0.11438,0.23106090410958904,365
Flores Timur,2022,-0.17234457746478873,-0.35857,0.05254,0.2842024647887324,142
Garut,2021,-0.0958151506849315,-0.39552,0.11302,0.2527685205479452,365
Garut,2022,-0.22273521126760562,-0.50713,0.23522,0.31559028169014086,142
Gayo Lues,2021,-0.053424493150684926,-0.31784,0.1835,0.22330860273972603,365
Gayo Lues,2022,-0.1891669718309859,-0.4251,0.17319,0.2827912676056338,142
Gianyar,2021,-0.23293663013698632,-0.79073,-0.102,0.19571301369863012,365
Gianyar,2022,-0.3920574647887324,-0.79998,-0.14765,0.2550311971830986,142
Gorontalo,2021,0.06256994520547945,-0.29407,0.3333,0.22165383561643837,365
