provinsi,tahun,migrasi_masuk,migrasi_keluar,migrasi_neto,sumber
Jambi,2000,109534.0,83346.0,26188.0,BPS Sensus/SUPAS
Sumatera Selatan,2000,163250.0,151956.0,11294.0,BPS Sensus/SUPAS
Bengkulu,2000,68832.0,35831.0,33001.0,BPS Sensus/SUPAS
Lampung,2000,149013.0,149258.0,-245.0,BPS Sensus/SUPAS
Bangka Belitung,2000,36536.0,33773.0,2763.0,BPS Sensus/SUPAS
Kepulauan Riau,2000,206664.0,41340.0,165324.0,BPS Sensus/SUPAS
Jakarta Raya,2000,702202.0,850343.0,-148141.0,BPS Sensus/SUPAS
Jawa Barat,2000,1097021.0,631753.0,465268.0,BPS Sensus/SUPAS
Jawa Tengah,2000,354204.0,1017494.0,-663290.0,BPS Sensus/SUPAS
Yogyakarta,2000,196586.0,129530.0,67056.0,BPS Sensus/SUPAS
Jawa Timur,2000,185966.0,529037.0,-343071.0,BPS Sensus/SUPAS
Banten,2000,620299.0,207358.0,412941.0,BPS Sensus/SUPAS
Bali,2000,87225.0,47353.0,39872.0,BPS Sensus/SUPAS
Nusa Tenggara Barat,2000,59964.0,50714.0,9250.0,BPS Sensus/SUPAS
Nusa Tenggara Timur,2000,69910.0,54989.0,14921.0,BPS Sensus/SUPAS
Kalimantan Barat,2000,49202.0,45682.0,3520.0,BPS Sensus/SUPAS
Kalimantan Tengah,2000,124387.0,24903.0,99484.0,BPS Sensus/SUPAS
Kalimantan Selatan,2000,89320.0,62612.0,26708.0,BPS Sensus/SUPAS
Kalimantan Timur,2000,155498.0,42817.0,112681.0,BPS Sensus/SUPAS
Kalimantan Utara,2000,,,,BPS Sensus/SUPAS
Sulawesi Utara,2000,54504.0,38830.0,15674.0,BPS Sensus/SUPAS
Sulawesi Tengah,2000,75328.0,30555.0,44773.0,BPS Sensus/SUPAS
Sulawesi Selatan,2000,80648.0,185215.0,-104567.0,BPS Sensus/SUPAS
Sulawesi Tenggara,2000,110289.0,22251.0,88038.0,BPS Sensus/SUPAS
Gorontalo,2000,9257.0,33448.0,-24191.0,BPS Sensus/SUPAS
Sulawesi Barat,2000,33739.0,19078.0,14661.0,BPS Sensus/SUPAS
Maluku,2000,18657.0,92781.0,-74124.0,BPS Sensus/SUPAS
Maluku Utara,2000,14764.0,28480.0,-13716.0,BPS Sensus/SUPAS
Papua Barat,2000,25890.0,17623.0,8267.0,BPS Sensus/SUPAS
Papua,2000,49736.0,24329.0,25407.0,BPS Sensus/SUPAS
Aceh,2005,,,,BPS Sensus/SUPAS
Sumatera Utara,2005,107330.0,201898.0,-94568.0,BPS Sensus/SUPAS
Sumatera Barat,2005,108252.0,128758.0,-20506.0,BPS Sensus/SUPAS
Riau,2005,213867.0,98794.0,115073.0,BPS Sensus/SUPAS
Jambi,2005,66347.0,51367.0,14980.0,BPS Sensus/SUPAS
Sumatera Selatan,2005,65994.0,106772.0,-40778.0,BPS Sensus/SUPAS
Bengkulu,2005,32668.0,29982.0,2686.0,BPS Sensus/SUPAS
Lampung,2005,91858.0,110869.0,-19011.0,BPS Sensus/SUPAS
Bangka Belitung,2005,19906.0,17791.0,2115.0,BPS Sensus/SUPAS
Kepulauan Riau,2005,154291.0,8605.0,145686.0,BPS Sensus/SUPAS
Jakarta Raya,2005,575173.0,734584.0,-159411.0,BPS Sensus/SUPAS
Jawa Barat,2005,730878.0,443039.0,287839.0,BPS Sensus/SUPAS
Jawa Tengah,2005,327604.0,662193.0,-334589.0,BPS Sensus/SUPAS
Yogyakarta,2005,189890.0,87741.0,102149.0,BPS Sensus/SUPAS
Jawa Timur,2005,250155.0,344266.0,-94111.0,BPS Sensus/SUPAS
Banten,2005,290876.0,132867.0,158009.0,BPS Sensus/SUPAS
Bali,2005,76589.0,38959.0,37630.0,BPS Sensus/SUPAS
Nusa Tenggara Barat,2005,26947.0,32340.0,-5393.0,BPS Sensus/SUPAS
Nusa Tenggara Timur,2005,33348.0,30200.0,3148.0,BPS Sensus/SUPAS
Kalimantan Barat,2005,16449.0,32955.0,-16506.0,BPS Sensus/SUPAS
Kalimantan Tengah,2005,31513.0,47273.0,-15760.0,BPS Sensus/SUPAS
Kalimantan Selatan,2005,62574.0,41824.0,20750.0,BPS Sensus/SUPAS
Kalimantan Timur,2005,149389.0,47478.0,101911.0,BPS Sensus/SUPAS
Kalimantan Utara,2005,,,,BPS Sensus/SUPAS
Sulawesi Utara,2005,28863.0,31813.0,-2950.0,BPS Sensus/SUPAS
Sulawesi Tengah,2005,52297.0,27464.0,24833.0,BPS Sensus/SUPAS
Sulawesi Selatan,2005,107989.0,148333.0,-40344.0,BPS Sensus/SUPAS
Sulawesi Tenggara,2005,40716.0,30685.0,10031.0,BPS Sensus/SUPAS
Gorontalo,2005,11082.0,15616.0,-4534.0,BPS Sensus/SUPAS
Sulawesi Barat,2005,26104.0,21887.0,4217.0,BPS Sensus/SUPAS
Maluku,2005,9615.0,30417.0,-20802.0,BPS Sensus/SUPAS
Maluku Utara,2005,10365.0,16529.0,-6164.0,BPS Sensus/SUPAS
Papua Barat,2005,15897.0,12015.0,3882.0,BPS Sensus/SUPAS
Papua,2005,38996.0,25117.0,13879.0,BPS Sensus/SUPAS
Aceh,2010,63987.0,38802.0,25185.0,BPS Sensus/SUPAS
Sumatera Utara,2010,123962.0,372644.0,-248682.0,BPS Sensus/SUPAS
Sumatera Barat,2010,130180.0,150709.0,-20529.0,BPS Sensus/SUPAS
Riau,2010,294957.0,125814.0,169143.0,BPS Sensus/SUPAS
Jambi,2010,110114.0,52689.0,57425.0,BPS Sensus/SUPAS
Sumatera Selatan,2010,117396.0,129814.0,-12418.0,BPS Sensus/SUPAS
Bengkulu,2010,47827.0,26910.0,20917.0,BPS Sensus/SUPAS
Lampung,2010,92439.0,154420.0,-61981.0,BPS Sensus/SUPAS
Bangka Belitung,2010,60808.0,17054.0,43754.0,BPS Sensus/SUPAS
Kepulauan Riau,2010,210056.0,54847.0,155209.0,BPS Sensus/SUPAS
Jakarta Raya,2010,643959.0,883423.0,-239464.0,BPS Sensus/SUPAS
Jawa Barat,2010,1048964.0,595877.0,453087.0,BPS Sensus/SUPAS
Jawa Tengah,2010,301417.0,979860.0,-678443.0,BPS Sensus/SUPAS
